                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 0.2421,                0.11961,                0.22349,                0.80666,                0.99952,                      1,                  0.995,                0.98765,                0.99952,                      1,                  0.995,                0.98135,                0.15744,                0.12437,                0.17119,                0.78333,              0.0087328,              0.0087328,              0.0087328
                     66,                 0.2391,                0.13123,                0.21645,                0.80466,                0.99953,                      1,                  0.995,                0.99112,                0.99953,                      1,                  0.995,                 0.9828,                0.15874,                0.12671,                0.16238,                0.77749,               0.008713,               0.008713,               0.008713
                     67,                0.24365,                0.12848,                0.21621,                0.80731,                0.99941,                      1,                  0.995,                 0.9917,                0.99941,                      1,                  0.995,                0.97824,                0.16211,                 0.1385,                0.15883,                0.78897,              0.0086932,              0.0086932,              0.0086932
                     68,                0.23893,                 0.1244,                0.21701,                0.80064,                0.99957,                      1,                  0.995,                0.99308,                0.99957,                      1,                  0.995,                0.97809,                0.16125,                0.12762,                0.15843,                0.78014,              0.0086734,              0.0086734,              0.0086734
                     69,                0.24384,                0.12284,                0.21491,                0.80388,                0.99952,                      1,                  0.995,                  0.995,                0.99952,                      1,                  0.995,                0.97817,                 0.1442,                0.11758,                0.15437,                0.77628,              0.0086536,              0.0086536,              0.0086536
                     70,                0.23905,                0.13286,                0.21218,                0.80332,                0.99927,                      1,                  0.995,                 0.9807,                0.99927,                      1,                  0.995,                0.97534,                0.17715,                0.12524,                0.18189,                  0.786,              0.0086338,              0.0086338,              0.0086338
                     71,                0.23756,                0.12463,                0.21343,                0.80873,                0.99955,                      1,                  0.995,                0.99182,                0.99955,                      1,                  0.995,                 0.9782,                0.15893,                0.11842,                0.15017,                 0.7915,               0.008614,               0.008614,               0.008614
                     72,                0.23352,                0.12529,                0.20663,                0.80395,                 0.9995,                      1,                  0.995,                0.99163,                 0.9995,                      1,                  0.995,                0.97984,                0.14877,                0.12272,                 0.1428,                0.78788,              0.0085942,              0.0085942,              0.0085942
                     73,                0.22598,                0.13185,                0.21068,                0.80624,                0.99949,                      1,                  0.995,                0.99026,                0.99949,                      1,                  0.995,                0.97973,                0.15217,                0.12817,                0.15424,                0.78479,              0.0085744,              0.0085744,              0.0085744
                     74,                0.23085,                0.13292,                0.20796,                0.80311,                0.99905,                      1,                  0.995,                0.99191,                0.99905,                      1,                  0.995,                0.97537,                0.17072,                0.13024,                0.15494,                0.78921,              0.0085546,              0.0085546,              0.0085546
                     75,                0.22467,                0.13794,                0.19927,                0.79657,                0.99778,                      1,                  0.995,                0.98786,                0.99778,                      1,                  0.995,                0.98075,                0.17121,                0.13288,                0.14995,                0.79214,              0.0085348,              0.0085348,              0.0085348
                     76,                0.23585,                0.13204,                0.20701,                0.81038,                0.99842,                      1,                  0.995,                0.98827,                0.99842,                      1,                  0.995,                0.97797,                0.15602,                0.11984,                0.14741,                0.78553,               0.008515,               0.008515,               0.008515
                     77,                0.23232,                0.13643,                0.20201,                0.80077,                0.99952,                      1,                  0.995,                0.99127,                0.99952,                      1,                  0.995,                0.98164,                0.15122,                0.11672,                0.14582,                0.78035,              0.0084952,              0.0084952,              0.0084952
                     78,                0.23238,                0.12952,                0.20585,                0.80399,                0.99952,                      1,                  0.995,                0.99087,                0.99952,                      1,                  0.995,                0.98211,                0.14081,                0.13436,                0.13514,                 0.7726,              0.0084754,              0.0084754,              0.0084754
                     79,                0.23151,                0.12645,                0.20499,                0.80344,                0.99952,                      1,                  0.995,                0.99364,                0.99952,                      1,                  0.995,                0.97627,                0.14253,                0.12708,                0.14389,                0.77142,              0.0084556,              0.0084556,              0.0084556
                     80,                 0.2265,                0.11977,                 0.1996,                0.79788,                 0.9991,                      1,                  0.995,                0.99094,                 0.9991,                      1,                  0.995,                0.97489,                0.14182,                0.12821,                  0.149,                0.78041,              0.0084358,              0.0084358,              0.0084358
                     81,                0.23009,                0.12449,                0.20222,                0.80889,                0.99952,                      1,                  0.995,                0.98965,                0.99952,                      1,                  0.995,                0.97863,                0.15292,                0.13011,                0.15057,                0.77728,               0.008416,               0.008416,               0.008416
                     82,                0.23434,                0.12349,                0.20442,                0.79999,                0.99886,                      1,                  0.995,                 0.9931,                0.99886,                      1,                  0.995,                0.98451,                0.13073,                0.11409,                0.13331,                0.77025,              0.0083962,              0.0083962,              0.0083962
                     83,                 0.2294,                0.12718,                0.20301,                0.80898,                0.99953,                      1,                  0.995,                0.99139,                0.99953,                      1,                  0.995,                0.97569,                0.15279,                0.12882,                0.13705,                0.78299,              0.0083764,              0.0083764,              0.0083764
                     84,                0.22114,                0.12756,                0.19797,                0.79438,                0.99953,                      1,                  0.995,                0.98798,                0.99953,                      1,                  0.995,                0.97522,                0.15862,                0.13271,                0.14186,                0.78784,              0.0083566,              0.0083566,              0.0083566
                     85,                0.22351,                 0.1175,                0.19952,                0.80171,                0.99953,                      1,                  0.995,                 0.9936,                0.99953,                      1,                  0.995,                0.98108,                0.14152,                0.11942,                0.14189,                0.77726,              0.0083368,              0.0083368,              0.0083368
                     86,                0.22345,                0.11689,                0.20304,                 0.8041,                0.99953,                      1,                  0.995,                0.99185,                0.99953,                      1,                  0.995,                0.97811,                0.13727,                 0.1213,                0.14642,                0.77746,               0.008317,               0.008317,               0.008317
                     87,                0.22307,                 0.1243,                0.19825,                 0.8012,                0.99953,                      1,                  0.995,                0.99126,                0.99953,                      1,                  0.995,                0.98346,                0.14966,                0.12835,                0.13978,                0.78896,              0.0082972,              0.0082972,              0.0082972
                     88,                0.21134,                0.12373,                0.19002,                0.79807,                0.99969,                      1,                  0.995,                0.99226,                0.99969,                      1,                  0.995,                0.98395,                0.14196,                0.12184,                0.14338,                0.77477,              0.0082774,              0.0082774,              0.0082774
                     89,                0.22584,                0.12057,                0.20079,                0.80554,                0.99967,                      1,                  0.995,                0.99089,                0.99967,                      1,                  0.995,                0.97978,                0.14942,                0.11907,                 0.1423,                0.77551,              0.0082576,              0.0082576,              0.0082576
                     90,                0.22416,                0.12086,                0.19469,                0.80056,                0.99955,                      1,                  0.995,                0.98931,                0.99955,                      1,                  0.995,                0.98104,                0.14448,                0.11988,                0.13555,                0.78082,              0.0082378,              0.0082378,              0.0082378
                     91,                0.21975,                 0.1193,                0.19301,                 0.8034,                0.99953,                      1,                  0.995,                0.98952,                0.99953,                      1,                  0.995,                0.98054,                0.14975,                0.11846,                0.14699,                0.78338,               0.008218,               0.008218,               0.008218
                     92,                0.22424,                0.11751,                0.20652,                0.80568,                0.99952,                      1,                  0.995,                0.98958,                0.99952,                      1,                  0.995,                 0.9832,                0.14189,                0.11346,                0.14264,                0.77836,              0.0081982,              0.0081982,              0.0081982
                     93,                0.22177,                0.11973,                0.20292,                0.81058,                 0.9995,                      1,                  0.995,                0.99264,                 0.9995,                      1,                  0.995,                0.98115,                  0.133,                0.12302,                0.15131,                0.77234,              0.0081784,              0.0081784,              0.0081784
                     94,                0.21776,                0.11471,                0.19546,                0.80208,                0.99955,                      1,                  0.995,                0.99044,                0.99955,                      1,                  0.995,                0.98082,                0.14817,                 0.1145,                0.14284,                0.78522,              0.0081586,              0.0081586,              0.0081586
                     95,                0.21757,                 0.1145,                0.19983,                0.79924,                 0.9995,                      1,                  0.995,                  0.995,                 0.9995,                      1,                  0.995,                0.98872,                0.12875,                0.11378,                0.14569,                0.77007,              0.0081388,              0.0081388,              0.0081388
                     96,                0.21539,                0.12114,                0.18849,                0.80363,                0.99952,                      1,                  0.995,                0.99352,                0.99952,                      1,                  0.995,                0.97993,                0.14016,                0.11103,                 0.1462,                0.77172,               0.008119,               0.008119,               0.008119
                     97,                0.21689,                0.11729,                0.19403,                0.79245,                0.99953,                      1,                  0.995,                  0.995,                0.99953,                      1,                  0.995,                0.98169,                0.12817,                0.11714,                0.13762,                0.76908,              0.0080992,              0.0080992,              0.0080992
                     98,                0.21919,                0.12244,                 0.1965,                0.80274,                0.99952,                      1,                  0.995,                0.99424,                0.99952,                      1,                  0.995,                0.98311,                0.13136,                0.12378,                0.13774,                 0.7726,              0.0080794,              0.0080794,              0.0080794
                     99,                0.21352,                0.12341,                0.19357,                0.80381,                0.99953,                      1,                  0.995,                0.99402,                0.99953,                      1,                  0.995,                0.98545,                0.13377,                0.11033,                0.12919,                0.77284,              0.0080596,              0.0080596,              0.0080596
                    100,                0.21192,                0.11712,                0.18537,                0.80179,                0.99956,                      1,                  0.995,                0.99243,                0.99956,                      1,                  0.995,                 0.9811,                 0.1252,                0.12371,                0.13085,                0.77237,              0.0080398,              0.0080398,              0.0080398
                    101,                0.21569,                0.12208,                0.19434,                0.80259,                0.99953,                      1,                  0.995,                0.99071,                0.99953,                      1,                  0.995,                0.98375,                0.13364,                0.12199,                0.13533,                0.77782,                0.00802,                0.00802,                0.00802
